Method,Name,Error,Occurrences
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7702242210>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a770108cf10>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a77011060d0>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7701096390>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7702265210>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a77010b7910>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a77010e37d0>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7701111090>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a77010b5150>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a77010be150>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7701131c90>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a77010b6b50>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a77010ebc90>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7702264f10>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectionRefusedError(111, 'Connection refused')",641
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a770107f550>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a77010f54d0>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a770106f4d0>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a76f3f26c90>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7701052750>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a77010f4a10>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a770227e4d0>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a770226c950>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a77022359d0>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a76f3f6a590>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a77010f6650>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7701051790>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a770226e310>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a770225e5d0>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a770105b790>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7701095a90>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a76f3f09b10>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a76f3f129d0>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7702226250>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7702225b90>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a770224de10>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a770107c2d0>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a76f3f00110>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7701085110>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7701124790>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7702238e90>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a77010b5290>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a770224f110>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7702204e10>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7701045a90>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a76f3f46350>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
